zipcode,city,lat,lon,state
64140,Kansas City,39.099727,-94.578567,MO
00805,St Thomas,18.3418212000,-64.9310066000,VI
00821,Christiansted,17.7459884000,-64.7020578000,VI
85056,Phoenix,33.4486,-112.1880831000,AZ
00822,Christiansted,17.7459852000,-64.7020544000,VI
94100,San Francisco,37.73385,-122.479626,CA
91805,Alhambra,48.9378644000,10.7154531000,CA
60418,Crestwood,41.6529352000,-87.7521020000,IL
08256,Del Haven,41.7291186000,1.6710834000,NJ
45059,Darrtown,20.6523974000,-103.4331153000,OH
59203,Oswego,50.7358262000,3.1885383000,MT
99920,Craig,21.3882480000,-102.6833524000,AK
04773,Saint David,46.5161660000,-68.8868260000,ME
04616,Brooklin,44.2581210000,-68.5674040000,ME
04488,Stetson,44.8946970000,-69.1423410000,ME
04422,Charleston,45.0669990000,-69.0406950000,ME
04253,Livermore,44.2974160000,-70.1891390000,ME
04423,Costigan,45.0394780000,-68.5291820000,ME
51515,Carter Lake,51.0395097000,7.2125898000,IA
65033,Eugene,27.2526925000,-100.1290163000,MO
54321,Green Bay,29.7551830000,-95.3662707000,WI
99724,Beaver,66.9297460000,-149.1930100000,AK
44027,Auburn Township,20.6809422000,-103.4203030000,OH
99747,Kaktovik,66.6932550000,-153.9939880000,AK
99552,Akiak,60.3147350000,-163.1189470000,AK
99641,Nunapitchuk,60.3147350000,-163.1189470000,AK
99666,Nunam Iqua,62.1172310000,-163.2376360000,AK
40169,Fox Chase,,,KY
99773,Shungnak,66.8684420000,-159.8439240000,AK
99826,Gustavus,58.3317980000,-135.1812560000,AK
80213,Denver,39.7435198000,-104.9744353000,CO
05160,Weston,19.4401880000,-99.1844370000,VT
15291,Pittsburgh,,,PA
33333,Cooper City,27.1240481000,-104.9177121000,FL
33832,Bartow,,,FL
19800,Elsmere,,,DE
04036,E Waterboro,,,ME
12929,Dannemora,44.8477090000,-73.5823170000,NY
20371,Bur Medicine Surgery,,,DC
01751,Marlboro,,,MA
01576,Dudley,,,MA
36365,Fort Rucker,,,AL
10613,White Plains,,,NY
70000,Metairie,,,LA
11903,Flanders,,,NY
30227,Grantville,,,GA
14596,Wolcott,,,NY
98654,Vidradne,44.5057623000,34.2146209000,WA
35495,Vance,,,AL
98269,Langley,,,WA
56018,Amboy,,,MN
15004,Atlasburg,40.3413490000,-80.3822470000,PA
41412,Crockett,,,KY
15200,Arsenal,,,PA
12568,Plattekill,41.6412070000,-74.0780500000,NY
00610,Urb Valle Real,18.2896155000,-67.1179511000,PR
98212,Zavods'ke,45.3465935000,35.7315339000,WA
19384,Gay Street,,,PA
25055,Costa,,,WV
02376,Rockland,,,MA
47508,Capehart,,,IN
20000,Washington,,,DC
90257,Hawthorne,,,CA
21000,Aber Prov Grd,,,MD
70432,Bush,,,LA
14453,Fishers,43.0109080000,-77.4705400000,NY
91430,Encino,34.1513996000,-118.4543607000,CA
65100,Brazito,26.0476470000,-100.5908221000,MO
32546,Destin,42.0413019000,-7.2598913000,FL
04449,Hudson,45.0060540000,-68.8846210000,ME
00840,Frederiksted,17.7372030000,-64.8466574000,VI
94825,El Sobrante,38.5687744000,-121.4190552000,CA
00841,Frederiksted,17.7123792000,-64.8815157000,VI
04648,Jonesboro,45.0029690000,-67.4955480000,ME
12543,Maybrook,41.3576250000,-74.2305870000,NY
02873,Rockville,41.5199220000,-71.7740230000,RI
76948,Mereta,,,TX
41545,Flanary,,,KY
14200,Buffalo,,,NY
46212,Eagle Creek,,,IN
99560,Chefornak,22.1552454000,-102.8514837000,AK
48810,Carson City,,,MI
02561,Sagamore,41.7702540000,-70.5336640000,MA
46314,Demotte,,,IN
00850,Kingshill,17.7243885000,-64.7829247000,VI
